Week,Team,Opponent,Is Home,QBR,Passing Rating,Rushing Yards Per Attempt,Defense Passing Yards,Defense Rushing Yards,Defense Turnovers,Win Streak,Is Win
4,crd,car,1,353.7,353.7,19.6,950,498,3,0,0
5,crd,nyj,1,455.9,455.9,23.8,1112,621,3,1,1
6,crd,dal,1,547.74,547.6999999999999,31.3,1359,718,7,2,1
7,crd,sea,0,652.25,652.1999999999999,36.1,1731,918,10,3,1
9,crd,mia,0,802.41,799.5999999999999,40.9,1952,1009,10,0,0
10,crd,buf,0,889.91,887.0999999999999,47.1,2248,1082,12,1,1
11,crd,sea,1,990.9,988.0999999999999,50.300000000000004,2430,1247,12,0,0
12,crd,nwe,1,1056.71,1053.8999999999999,54.400000000000006,2499,1357,14,0,0
13,crd,ram,0,1133.58,1130.8,58.800000000000004,2843,1476,15,0,0
14,crd,nyg,1,1229.83,1227.0,62.50000000000001,2924,1554,18,1,1
15,crd,phi,0,1358.3799999999999,1355.5,65.9,3229,1671,18,2,1
16,crd,sfo,0,1422.9599999999998,1420.1,70.30000000000001,3400,1898,19,0,0
17,crd,ram,1,1506.2199999999998,1503.3999999999999,73.00000000000001,3623,2008,21,0,0
4,atl,gnb,1,374.5,374.4,15.6,1366,427,5,0,0
5,atl,car,0,435.93,435.79999999999995,22.5,1679,551,5,0,0
6,atl,min,1,571.66,571.5,25.2,2012,583,8,1,1
7,atl,det,0,675.13,675.0,27.7,2334,647,8,0,0
8,atl,car,1,759.16,759.0,31.3,2491,794,9,1,1
9,atl,den,0,869.6999999999999,869.5,34.2,2793,897,10,2,1
11,atl,nor,1,914.1299999999999,913.9,37.900000000000006,3003,1063,11,0,0
12,atl,rai,0,988.7599999999999,988.5,41.800000000000004,3206,1103,16,1,1
13,atl,nor,0,1067.9799999999998,1067.7,45.1,3423,1310,17,0,0
14,atl,sdg,1,1139.3799999999999,1139.1000000000001,48.6,3663,1415,18,0,0
15,atl,tam,0,1247.9299999999998,1247.6000000000001,51.4,4028,1466,18,0,0
16,atl,kan,1,1366.32,1366.0000000000002,55.3,4306,1583,20,0,0
17,atl,tam,1,1462.9099999999999,1462.6000000000001,60.199999999999996,4697,1677,21,0,0
4,rav,was,1,417.95,415.20000000000005,21.9,1080,390,7,1,1
5,rav,cin,0,488.84,486.1,28.599999999999998,1215,460,10,2,1
6,rav,phi,1,579.35,576.6,33.5,1385,654,11,3,1
8,rav,pit,0,642.74,640.0,39.1,1558,702,12,0,0
