Week,Team,Opponent,Is Home,QBR,Passing Rating,Rushing Yards Per Attempt,Defense Passing Yards,Defense Rushing Yards,Defense Turnovers,Win Streak,Is Win
4,crd,car,1,341.0,341.0,16.700000000000003,1023,348,6,1,1
5,crd,phi,0,420.37,420.4,21.500000000000004,1241,487,6,0,0
6,crd,sea,1,482.25,482.29999999999995,26.6,1401,623,7,0,0
7,crd,nor,0,580.45,580.5,31.3,1810,708,10,1,1
8,crd,min,1,673.1600000000001,673.2,34.8,2018,881,11,0,0
9,crd,sea,0,770.48,770.5,40.599999999999994,2281,1039,12,0,0
10,crd,ram,1,864.9100000000001,864.9,43.599999999999994,2471,1105,14,1,1
11,crd,sfo,0,928.2600000000001,928.3,46.39999999999999,2699,1264,14,0,0
12,crd,sdg,0,1017.2700000000001,1017.3,51.69999999999999,2945,1329,14,0,0
14,crd,nwe,0,1087.44,1087.5,56.79999999999999,3170,1432,15,0,0
15,crd,den,1,1120.43,1120.5,60.49999999999999,3326,1600,17,0,0
16,crd,tam,0,1177.22,1177.3,65.0,3607,1715,19,0,0
17,crd,atl,1,1259.82,1259.8999999999999,69.7,3773,1847,20,0,0
18,crd,sfo,1,1326.33,1326.3999999999999,72.8,3915,2016,20,0,0
4,atl,cle,0,292.08,292.1,20.2,1040,505,7,2,1
5,atl,tam,1,372.5,372.5,25.1,1391,574,7,0,0
6,atl,sfo,0,535.6,514.8,29.3,1687,624,10,1,1
7,atl,cin,1,648.9,628.0999999999999,33.0,2146,702,10,0,0
8,atl,car,0,752.03,731.1999999999999,37.5,2455,871,11,1,1
9,atl,sdg,0,818.24,797.4,43.2,2700,962,13,0,0
10,atl,car,1,902.6800000000001,881.8,48.7,2801,1194,13,0,0
11,atl,chi,0,1002.8900000000001,982.0,53.2,2929,1354,14,1,1
12,atl,was,1,1079.14,1058.2,59.0,3067,1530,15,0,0
13,atl,pit,0,1150.67,1129.7,64.2,3264,1684,15,0,0
