Week,Team,Opponent,Is Home,QBR,Passing Rating,Rushing Yards Per Attempt,Defense Passing Yards,Defense Rushing Yards,Defense Turnovers,Win Streak,Is Win
4,crd,ram,0,307.24,307.09999999999997,17.0,814,440,9,0,0
5,crd,sfo,1,383.13,383.0,21.6,949,591,12,1,1
6,crd,nyj,0,478.67,478.5,26.5,1146,624,14,2,1
7,crd,sea,0,556.52,556.3,30.1,1351,676,14,0,0
8,crd,car,1,663.31,663.0999999999999,32.5,1559,817,15,0,0
10,crd,sfo,0,737.0799999999999,736.8999999999999,36.0,1757,900,16,1,1
11,crd,min,1,795.6299999999999,795.4999999999999,40.8,1902,972,17,0,0
12,crd,atl,1,874.9399999999998,874.7999999999998,44.9,2146,1088,18,0,0
13,crd,was,0,978.5599999999998,978.3999999999999,48.6,2392,1175,20,1,1
14,crd,mia,1,1036.83,1036.6999999999998,55.1,2623,1258,23,0,0
15,crd,nor,0,1146.1,1145.9999999999998,62.800000000000004,2981,1388,24,0,0
16,crd,sea,1,1252.5,1252.3999999999999,66.0,3294,1466,25,1,1
17,crd,ram,1,1328.0,1327.8999999999999,69.5,3365,1518,28,2,1
4,atl,car,0,497.11,495.0,17.8,1268,409,5,3,1
5,atl,den,1,592.94,590.8,21.6,1451,493,6,4,1
6,atl,sea,1,693.24,691.0999999999999,24.5,1712,565,6,0,0
7,atl,sdg,0,778.1700000000001,775.9999999999999,29.5,2060,643,8,0,0
8,atl,gnb,0,908.47,904.1999999999998,34.2,2283,751,8,1,1
9,atl,tam,1,1050.8700000000001,1046.6,38.2,2609,821,10,2,1
10,atl,phi,1,1128.0800000000002,1123.8,41.900000000000006,2830,1029,11,0,0
12,atl,crd,0,1231.14,1226.8999999999999,45.800000000000004,3104,1087,12,1,1
13,atl,kan,0,1320.23,1315.9999999999998,50.1,3370,1210,13,0,0
14,atl,ram,1,1436.2,1431.9999999999998,52.7,3578,1314,18,1,1
15,atl,sfo,0,1580.99,1576.3999999999999,58.7,3743,1421,19,2,1
16,atl,car,1,1703.78,1695.6,65.0,3926,1540,21,3,1
17,atl,nor,0,1842.78,1834.6,71.5,4267,1672,22,4,1
4,rav,rai,0,313.56000000000006,313.5,14.899999999999999,704,320,6,0,0
5,rav,was,0,392.59000000000003,392.5,21.099999999999998,954,380,8,0,0
6,rav,nyg,1,465.25,465.2,24.9,1351,418,11,0,0
7,rav,nyj,1,517.9,517.9,25.9,1540,573,13,0,0
9,rav,pit,0,598.48,598.5,27.599999999999998,1781,609,14,1,1
10,rav,cle,0,693.75,693.8,31.099999999999998,1892,642,17,2,1
11,rav,dal,1,791.9,792.0,37.4,2191,760,17,0,0
12,rav,cin,0,874.89,875.0,40.5,2452,824,19,1,1
13,rav,mia,0,989.14,989.2,46.0,2667,886,22,2,1
14,rav,nwe,1,1079.85,1079.9,49.0,3068,981,25,0,0
15,rav,phi,0,1160.9599999999998,1161.0,55.3,3227,1150,26,1,1
16,rav,pit,1,1241.2599999999998,1241.3,60.0,3506,1277,28,0,0
17,rav,cin,1,1302.4099999999999,1302.5,64.5,3724,1430,28,0,0
4,buf,nwe,1,331.44,331.40000000000003,17.9,1042,384,8,2,1
5,buf,ram,1,426.28,426.20000000000005,25.0,1285,486,11,3,1
6,buf,sfo,0,530.06,530.0,32.1,1452,619,12,4,1
7,buf,mia,1,615.4799999999999,615.4,35.1,1650,875,12,0,0
8,buf,nwe,0,680.9999999999999,680.9,41.5,1935,947,12,0,0
9,buf,sea,1,766.7399999999999,766.6,45.8,2180,980,12,0,0
11,buf,cin,1,836.5699999999999,836.4,51.199999999999996,2387,1073,14,1,1
12,buf,jax,0,947.68,947.5,56.49999999999999,2505,1256,14,2,1
13,buf,rai,1,1000.9499999999999,1000.8,63.599999999999994,2765,1395,14,0,0
14,buf,pit,0,1097.6999999999998,1097.5,67.3,2985,1635,17,0,0
15,buf,cle,0,1198.2799999999997,1198.1,74.3,3147,1742,17,1,1
16,buf,mia,0,1315.4299999999998,1315.1999999999998,79.89999999999999,3380,2003,18,0,0
17,buf,nyj,1,1366.1699999999998,1365.8999999999999,82.3,3582,2130,18,0,0
4,car,atl,1,308.48,308.5,16.8,1030,361,7,0,0
5,car,tam,0,375.74,375.8,22.200000000000003,1232,474,7,0,0
6,car,nor,1,457.88,457.9,26.000000000000004,1692,537,8,0,0
8,car,crd,0,535.27,535.3,29.900000000000002,2008,561,10,1,1
9,car,ram,1,623.9399999999999,624.0,32.300000000000004,2288,620,11,2,1
10,car,kan,0,700.8,700.9,35.7,2453,711,12,0,0
11,car,nor,0,770.18,770.3,37.6,2717,818,14,1,1
12,car,rai,1,854.02,854.0999999999999,42.800000000000004,3027,874,16,0,0
13,car,sea,1,911.91,911.9999999999999,47.00000000000001,3321,1114,17,0,0
14,car,sdg,0,964.3,964.3999999999999,50.300000000000004,3541,1172,22,1,1
15,car,was,1,1064.36,1064.4999999999998,54.800000000000004,3847,1201,25,2,1
16,car,atl,0,1107.4299999999998,1107.5999999999997,60.00000000000001,4103,1353,25,0,0
17,car,tam,1,1154.6999999999998,1154.8999999999996,64.0,4291,1465,27,0,0
4,chi,det,0,364.12,363.9,16.8,840,494,4,1,1
5,chi,clt,1,484.13,483.9,23.4,1138,592,4,0,0
6,chi,jax,0,562.49,562.3,26.799999999999997,1401,646,6,0,0
7,chi,gnb,1,583.8,583.5999999999999,30.599999999999998,1704,749,7,0,0
8,chi,min,0,683.3299999999999,683.0999999999999,36.0,1905,806,7,1,1
10,chi,tam,1,735.55,735.3,42.1,2185,886,8,0,0
11,chi,nyg,1,812.91,812.6999999999999,45.800000000000004,2412,988,8,0,0
12,chi,oti,0,885.67,885.4999999999999,50.1,2638,1137,8,0,0
13,chi,sfo,0,981.27,981.0999999999999,53.7,2644,1278,8,1,1
14,chi,det,1,1072.42,1072.1999999999998,59.1,2853,1392,10,0,0
15,chi,gnb,0,1153.38,1153.1999999999998,64.1,3078,1618,10,0,0
16,chi,was,0,1215.67,1215.4999999999998,69.5,3348,1826,10,0,0
17,chi,min,1,1278.17,1277.9999999999998,74.4,3598,1950,11,0,0
4,cin,mia,0,373.30999999999995,373.3,12.6,901,390,6,1,1
5,cin,dal,1,475.9,475.9,17.7,1123,570,7,0,0
6,cin,nwe,1,577.04,577.0,21.5,1481,649,7,0,0
7,cin,cle,0,702.3399999999999,702.3,30.5,1653,829,9,1,1
8,cin,was,0,782.0999999999999,782.0999999999999,34.7,2099,929,10,0,0
10,cin,nyg,1,854.0099999999999,853.9999999999999,38.1,2328,1051,12,0,0
11,cin,buf,0,911.0399999999998,910.9999999999999,41.5,2487,1234,13,0,0
12,cin,rav,1,987.8599999999999,987.7999999999998,44.7,2706,1326,14,0,0
13,cin,phi,0,1117.8999999999999,1117.7999999999997,47.1,3012,1379,17,1,1
14,cin,cle,1,1225.1899999999998,1225.0999999999997,52.7,3097,1548,18,2,1
15,cin,pit,0,1283.7499999999998,1283.6999999999996,55.400000000000006,3382,1645,18,0,0
16,cin,htx,1,1365.5099999999998,1365.4999999999995,58.00000000000001,3537,1740,18,0,0
17,cin,rav,0,1465.5099999999998,1465.4999999999995,62.00000000000001,3800,1812,20,1,1
4,cle,was,1,293.8,293.70000000000005,23.1,1039,473,6,0,0
5,cle,nwe,0,378.62,378.50000000000006,24.3,1442,571,6,0,0
6,cle,oti,1,480.01,479.9000000000001,27.0,1712,708,7,0,0
7,cle,cin,1,528.76,528.7,33.9,2000,979,8,0,0
8,cle,nyj,0,599.39,599.3000000000001,37.699999999999996,2222,1150,8,0,0
9,cle,dal,0,699.78,699.7,41.199999999999996,2477,1318,8,0,0
10,cle,rav,1,746.35,746.3000000000001,43.699999999999996,2754,1437,10,0,0
11,cle,pit,0,806.97,806.9000000000001,46.199999999999996,2921,1583,10,0,0
12,cle,nyg,0,890.97,890.9000000000001,48.99999999999999,3113,1687,11,0,0
14,cle,cin,0,926.5400000000001,926.5000000000001,56.699999999999996,3260,1900,11,0,0
15,cle,buf,1,1003.33,1003.3000000000001,61.8,3431,2180,11,0,0
16,cle,sdg,0,1080.8600000000001,1080.8000000000002,66.1,3753,2214,12,1,1
17,cle,pit,1,1171.0700000000002,1171.0000000000002,73.1,3996,2283,13,0,0
4,dal,sfo,1,409.49,408.09999999999997,16.7,1054,379,5,3,1
5,dal,cin,0,526.5,525.0999999999999,22.9,1303,475,5,4,1
6,dal,gnb,1,641.7,640.3,28.7,1597,553,9,5,1
8,dal,phi,0,718.0500000000001,716.6999999999999,34.2,1791,650,10,6,1
9,dal,cle,1,859.2700000000001,857.0,38.2,1968,695,10,7,1
10,dal,pit,1,977.8900000000001,975.6,43.300000000000004,2368,743,10,8,1
11,dal,rav,0,1104.8600000000001,1102.6,47.2,2635,844,10,9,1
12,dal,was,0,1212.8500000000001,1210.6,52.6,3084,900,10,10,1
13,dal,min,1,1317.71,1315.5,57.6,3315,987,11,11,1
14,dal,nyg,1,1361.69,1359.5,61.9,3482,1080,14,0,0
15,dal,tam,0,1468.4,1456.7,67.7,3706,1132,18,1,1
16,dal,det,0,1639.3300000000002,1603.7,73.2,3935,1222,20,2,1
17,dal,phi,1,1688.2500000000002,1652.6000000000001,76.5,4167,1336,20,0,0
4,den,tam,1,379.61,379.6,14.5,678,455,8,4,1
5,den,atl,0,455.86,455.90000000000003,18.0,928,577,9,0,0
6,den,sdg,1,532.94,533.0,23.3,1094,676,11,0,0
7,den,htx,0,621.19,621.2,28.700000000000003,1225,816,13,1,1
8,den,sdg,0,685.44,685.5,31.000000000000004,1471,939,16,2,1
9,den,rai,1,764.7800000000001,764.8,33.800000000000004,1650,1157,16,0,0
10,den,nor,1,839.1600000000001,839.1999999999999,36.6,1943,1237,20,1,1
12,den,kan,0,961.3400000000001,961.4,39.9,2133,1320,20,0,0
13,den,jax,1,1022.8000000000002,1022.9,43.6,2312,1474,23,1,1
14,den,oti,1,1115.4300000000003,1115.5,45.6,2385,1654,23,0,0
15,den,nwe,0,1185.3300000000004,1185.4,49.0,2562,1790,23,0,0
16,den,kan,1,1228.4000000000003,1228.5,53.5,2808,2028,24,0,0
17,den,rai,0,1324.0000000000002,1324.1,57.1,2972,2085,27,1,1
4,det,chi,1,365.66,364.0,16.7,1087,458,1,0,0
5,det,phi,0,498.41,496.3,19.7,1317,574,3,1,1
6,det,ram,0,640.95,635.4,22.9,1628,650,4,2,1
7,det,was,0,742.1700000000001,736.6,27.799999999999997,1911,780,6,3,1
8,det,htx,1,830.74,825.2,31.9,2075,885,7,0,0
9,det,min,1,917.78,912.2,35.8,2334,963,7,1,1
11,det,jax,0,1013.68,1008.1,36.5,2536,1046,10,2,1
12,det,min,0,1094.3,1088.7,41.4,2760,1128,11,3,1
13,det,nor,1,1205.21,1199.6000000000001,45.1,3079,1178,14,4,1
14,det,chi,0,1267.89,1262.3000000000002,49.2,3283,1270,14,5,1
15,det,nyg,1,1339.2,1333.6000000000001,52.1,3469,1384,14,0,0
16,det,dal,1,1400.07,1394.5000000000002,56.6,3680,1548,14,0,0
17,det,gnb,0,1494.84,1489.3000000000002,60.2,3975,1701,14,0,0
5,gnb,nyg,0,371.57,355.6,17.1,1100,171,4,2,1
6,gnb,dal,0,462.34,446.40000000000003,20.400000000000002,1333,362,6,0,0
7,gnb,chi,0,562.86,546.9000000000001,24.900000000000002,1453,431,8,1,1
8,gnb,atl,1,685.89,669.9000000000001,30.6,1730,521,8,0,0
9,gnb,clt,0,779.93,763.9000000000001,36.7,2000,606,10,0,0
10,gnb,oti,1,852.6999999999999,836.7,42.0,2292,760,10,0,0
11,gnb,was,1,951.3699999999999,935.4000000000001,46.4,2656,911,10,0,0
12,gnb,phi,1,1068.09,1052.1000000000001,49.0,2867,992,11,1,1
13,gnb,htx,0,1175.73,1159.7,53.2,3051,1115,12,2,1
14,gnb,sea,0,1317.31,1300.9,56.300000000000004,3269,1251,18,3,1
15,gnb,chi,1,1400.71,1384.3000000000002,66.10000000000001,3623,1346,22,4,1
16,gnb,min,0,1529.72,1513.3000000000002,68.80000000000001,3976,1439,24,5,1
17,gnb,det,1,1655.2,1638.8000000000002,73.70000000000002,4308,1515,25,6,1
4,htx,oti,0,294.03000000000003,294.1,15.399999999999999,650,501,5,1,1
5,htx,min,1,347.20000000000005,347.3,19.599999999999998,905,597,5,0,0
6,htx,clt,0,436.46000000000004,436.6,25.199999999999996,1136,758,6,1,1
7,htx,den,1,496.57000000000005,496.70000000000005,30.799999999999997,1293,948,6,0,0
8,htx,det,0,576.8100000000001,576.9000000000001,34.199999999999996,1524,1006,6,1,1
10,htx,jax,1,660.99,661.1000000000001,39.699999999999996,1771,1086,8,2,1
11,htx,rai,1,741.06,741.2000000000002,43.49999999999999,2066,1116,9,0,0
12,htx,sdg,0,785.8199999999999,786.0000000000001,47.699999999999996,2301,1183,10,0,0
13,htx,gnb,1,881.2399999999999,881.4000000000001,52.3,2501,1292,11,0,0
14,htx,clt,1,937.3199999999999,937.5000000000001,56.8,2766,1375,14,1,1
15,htx,jax,0,1000.4,1000.6000000000001,59.3,2849,1442,15,2,1
16,htx,cin,0,1076.48,1076.7,63.3,3093,1492,16,3,1
17,htx,oti,1,1151.74,1152.0,65.39999999999999,3226,1595,17,0,0
4,clt,jax,1,349.53999999999996,349.6,15.7,1108,423,4,0,0
5,clt,chi,0,460.38,460.40000000000003,20.4,1505,548,5,1,1
6,clt,htx,1,544.62,544.6,25.4,1761,706,6,0,0
7,clt,oti,1,666.47,666.4,28.799999999999997,1968,830,7,1,1
8,clt,kan,0,741.4100000000001,741.3,33.8,2302,918,7,0,0
9,clt,gnb,1,814.1000000000001,814.0,36.8,2591,1034,8,1,1
11,clt,oti,0,907.1100000000001,907.0,39.5,2845,1131,8,2,1
12,clt,pit,0,972.1400000000001,972.0,43.5,3066,1279,8,0,0
13,clt,nyj,1,1126.8100000000002,1118.8,47.0,3280,1315,11,1,1
14,clt,htx,0,1194.17,1186.2,52.5,3411,1500,12,0,0
15,clt,min,1,1319.77,1311.8,56.5,3659,1534,15,1,1
16,clt,rai,1,1412.08,1404.1,60.8,3912,1744,15,0,0
17,clt,jax,0,1498.51,1490.5,65.1,4200,1926,17,1,1
4,jax,clt,0,312.96,313.0,15.099999999999998,795,423,5,1,1
6,jax,chi,1,396.22999999999996,396.3,17.799999999999997,1092,515,5,2,1
7,jax,rai,0,454.41999999999996,454.5,24.4,1292,659,5,0,0
8,jax,oti,1,550.79,550.9,28.799999999999997,1572,873,5,0,0
9,jax,kan,1,628.48,628.6,35.199999999999996,1741,935,5,0,0
10,jax,htx,0,711.09,711.2,38.8,1833,1116,5,0,0
11,jax,det,1,784.84,784.9000000000001,41.9,2096,1130,7,0,0
12,jax,buf,1,873.14,873.2,46.8,2247,1283,7,0,0
13,jax,den,0,910.84,910.9000000000001,50.9,2349,1387,7,0,0
14,jax,min,0,999.64,999.7,54.4,2641,1472,8,0,0
15,jax,htx,1,1035.06,1035.1000000000001,57.8,2949,1551,10,0,0
16,jax,oti,0,1147.29,1147.3000000000002,60.8,3154,1609,11,1,1
