Week,Team,Opponent,Is Home,QBR,Passing Rating,Rushing Yards Per Attempt,Defense Passing Yards,Defense Rushing Yards,Defense Turnovers,Win Streak,Is Win
4,crd,ram,0,439.21999999999997,423.4,18.1,797,430,7,0,0
5,crd,det,1,588.99,557.2,25.6,1176,486,13,1,1
6,crd,pit,1,672.0,640.2,28.400000000000002,1345,627,13,0,0
7,crd,rav,0,792.47,760.7,33.800000000000004,1566,682,15,1,1
8,crd,cle,1,909.9000000000001,878.1,36.900000000000006,1781,721,17,2,1
10,crd,sea,1,1005.4200000000001,973.6,40.400000000000006,2009,836,18,3,1
11,crd,cin,0,1117.8500000000001,1082.6,43.7,2287,935,19,4,1
12,crd,sfo,1,1197.7500000000002,1162.5,46.1,2588,1002,21,5,1
13,crd,ram,1,1306.4400000000003,1271.2,51.0,2734,1068,22,6,1
14,crd,min,0,1422.3300000000004,1387.1000000000001,54.3,3051,1140,25,7,1
15,crd,phi,1,1518.2300000000005,1483.0000000000002,60.199999999999996,3401,1214,29,8,1
16,crd,gnb,0,1624.4800000000005,1589.3000000000002,64.89999999999999,3478,1315,33,9,1
17,crd,sea,0,1663.8700000000006,1628.7000000000003,66.99999999999999,3687,1460,33,0,0
4,atl,htx,0,403.24,403.29999999999995,14.3,1221,341,8,4,1
5,atl,was,0,457.11,457.19999999999993,19.8,1440,392,10,5,1
6,atl,nor,1,556.07,556.1999999999999,26.9,1744,473,10,0,0
7,atl,oti,1,620.76,620.9,31.0,1923,550,12,1,1
8,atl,tam,0,733.49,729.6999999999999,34.7,2096,667,12,0,0
9,atl,sfo,1,824.9300000000001,821.0999999999999,35.900000000000006,2281,800,14,0,0
11,atl,clt,0,891.7800000000001,887.8999999999999,40.10000000000001,2483,874,17,0,0
12,atl,min,0,965.1000000000001,961.1999999999998,44.900000000000006,2657,1065,18,0,0
13,atl,tam,1,1044.5000000000002,1040.6,48.50000000000001,2879,1231,20,0,0
14,atl,car,1,1094.9600000000003,1091.1,51.900000000000006,3161,1373,20,0,0
15,atl,jax,1,1176.2100000000003,1172.3,54.400000000000006,3446,1458,21,1,1
16,atl,car,0,1294.4000000000003,1290.5,57.00000000000001,3559,1613,22,2,1
17,atl,nor,0,1396.8300000000004,1392.9,60.300000000000004,3882,1680,23,0,0
4,rav,pit,1,302.09999999999997,302.1,14.500000000000002,969,419,4,1,1
5,rav,cle,0,382.28,382.3,20.3,1391,502,4,0,0
6,rav,sfo,1,460.07,460.1,23.8,1717,567,4,0,0
7,rav,crd,1,537.26,537.3000000000001,27.2,1981,717,4,0,0
8,rav,sdg,0,637.65,637.7,30.099999999999998,2271,798,4,1,1
10,rav,jax,0,734.92,735.0,34.3,2439,888,5,0,0
11,rav,ram,0,804.43,804.5,37.699999999999996,2570,970,9,1,1
12,rav,cle,1,879.06,879.1,42.199999999999996,2845,1033,9,2,1
13,rav,mia,1,953.6999999999999,953.7,45.8,2927,1170,10,0,0
14,rav,sea,0,1021.8199999999999,1021.8000000000001,47.8,3228,1293,11,0,0
15,rav,kan,0,1093.6299999999999,1093.6000000000001,52.5,3392,1406,11,0,0
16,rav,pit,0,1187.6799999999998,1187.7,56.4,3590,1516,14,1,1
17,rav,cin,1,1246.4599999999998,1246.5,59.199999999999996,3737,1661,14,0,0
4,buf,nyg,0,427.72,427.8,16.7,1191,314,9,0,0
5,buf,oti,1,518.23,518.3,21.2,1370,411,10,1,1
6,buf,cin,0,599.28,599.4,26.1,1613,523,10,0,0
7,buf,jax,1,670.81,670.9,30.200000000000003,1788,643,11,0,0
9,buf,mia,0,830.53,817.4,37.6,2077,751,12,1,1
10,buf,nyj,1,917.8,904.6999999999999,42.1,2267,879,16,2,1
11,buf,nwe,1,992.2199999999999,979.0999999999999,45.2,2538,964,17,0,0
12,buf,kan,1,1098.03,1084.8999999999999,49.800000000000004,2793,1122,17,0,0
13,buf,htx,0,1231.6599999999999,1210.4999999999998,55.00000000000001,3068,1248,18,1,1
14,buf,phi,1,1305.4999999999998,1284.2999999999997,59.800000000000004,3300,1364,19,0,0
15,buf,was,1,1414.37,1393.1999999999998,67.5,3608,1487,20,0,0
16,buf,dal,0,1493.31,1472.1,73.4,3794,1608,22,1,1
17,buf,nyj,0,1576.05,1554.8,76.0,3972,1730,25,2,1
4,car,tam,1,352.82,352.79999999999995,16.2,988,368,11,4,1
6,car,sea,1,416.01,415.99999999999994,20.299999999999997,1207,483,11,5,1
7,car,phi,0,474.0,473.99999999999994,26.499999999999996,1379,660,12,6,1
8,car,clt,0,549.77,549.8,30.399999999999995,1602,796,16,7,1
9,car,gnb,0,654.21,654.1999999999999,33.99999999999999,1933,867,18,8,1
10,car,oti,1,770.2900000000001,764.9,37.49999999999999,2111,931,20,9,1
11,car,was,0,900.5600000000001,885.6999999999999,41.099999999999994,2283,945,25,10,1
12,car,dal,1,977.49,962.5999999999999,44.599999999999994,2462,976,28,11,1
13,car,nor,1,1099.7,1083.6999999999998,49.699999999999996,2726,1046,29,12,1
14,car,atl,0,1240.98,1224.9999999999998,54.099999999999994,2902,1100,33,13,1
15,car,nyg,1,1355.01,1338.9999999999998,59.99999999999999,3147,1261,35,14,1
16,car,atl,1,1420.01,1403.9999999999998,67.8,3443,1338,36,0,0
