Week,Team,Opponent,Is Home,QBR,Passing Rating,Rushing Yards Per Attempt,Defense Passing Yards,Defense Rushing Yards,Defense Turnovers,Win Streak,Is Win
4,crd,sfo,1,398.28000000000003,395.4,20.599999999999998,970,528,5,0,0
5,crd,cin,0,454.01000000000005,451.09999999999997,27.099999999999998,1257,621,6,0,0
6,crd,ram,1,510.46000000000004,507.59999999999997,31.4,1460,800,7,0,0
7,crd,sea,1,576.51,573.6999999999999,36.5,1663,915,10,0,0
8,crd,rav,0,650.78,647.9999999999999,40.5,1801,1045,10,0,0
9,crd,cle,1,671.61,668.7999999999998,42.5,2014,1158,10,0,0
10,crd,atl,0,740.1,737.2999999999998,47.2,2084,1342,10,1,1
11,crd,htx,1,822.1800000000001,819.3999999999999,52.1,2392,1453,13,0,0
12,crd,ram,0,901.95,899.1999999999998,57.0,2621,1681,14,0,0
13,crd,pit,1,989.5400000000001,986.7999999999998,60.9,2808,1811,15,1,1
15,crd,sfo,0,1055.94,1053.1999999999998,68.7,3070,1955,15,0,0
16,crd,chi,1,1151.55,1148.7999999999997,73.4,3240,2205,16,0,0
17,crd,phi,1,1270.3,1264.8999999999996,78.9,3424,2296,17,1,1
18,crd,sea,0,1380.72,1375.2999999999997,84.30000000000001,3613,2434,17,0,0
4,atl,jax,1,312.58000000000004,307.70000000000005,17.7,705,458,4,0,0
5,atl,htx,0,425.52000000000004,420.6,20.4,954,522,4,1,1
6,atl,was,0,491.08000000000004,486.20000000000005,24.099999999999998,1075,594,4,0,0
7,atl,tam,1,597.33,592.4000000000001,28.199999999999996,1331,667,6,1,1
8,atl,oti,1,682.99,678.1000000000001,33.599999999999994,1557,816,7,0,0
9,atl,min,0,757.44,752.6000000000001,37.49999999999999,1774,962,9,0,0
10,atl,crd,1,836.9000000000001,832.1000000000001,41.99999999999999,2004,1084,10,0,0
12,atl,nor,0,900.19,895.4000000000001,47.599999999999994,2300,1232,12,1,1
13,atl,nyj,1,967.71,962.9000000000001,50.199999999999996,2497,1294,15,2,1
14,atl,tam,0,1057.0900000000001,1052.3000000000002,53.9,2639,1442,15,0,0
15,atl,car,1,1136.67,1131.9,55.6,2793,1571,15,0,0
16,atl,clt,0,1235.8500000000001,1231.1000000000001,61.5,2963,1663,16,1,1
17,atl,chi,1,1263.1200000000001,1258.4,67.1,3203,1855,16,0,0
18,atl,nor,1,1359.69,1355.0,70.19999999999999,3449,2009,16,0,0
4,rav,cle,1,414.0,412.69999999999993,17.2,673,370,5,1,1
